judul,review,rating
Bukit klangon merapi,"Jalan menuju ke lokasi rusak parah sehingga pengunjung diharapkan hati hati bila kesana. Disarankan untuk menggunakan kendaraan offroad (bisa sewa) Waspadai juga pungli pungli jika ingin ke object wisata seperti lava tour, kaliadem, makam mbah marijan.",3
The most famous Mountain,"Gunung merapi paling yang terkenal di Yogyakarta, ini merupakan gunung yang masih berapi aktif.  Untuk mendaki di gunung ini diperlukan pengetahuan status yang benar-benar harus diperhatikan.",5
Wisata merapi vulcano,"Kegiatan workshop yang diiringi dengan agenda jalan jalan membuat kami merasa senang, apalagi suguhan cantiknya Merapi yang mengagumkan.. ",4
beautiful mountain..,"bersama keluarga menikmati indahnya gunung merapi dan sisa2 letusan. lebih seru jika kita naik mobil jeep lavatour melihat Merapi dari dekat, ke museum merapi, banker dan sungai yang airnya jernih sekali. pengalaman yang mengesankan berlibur lavatour merapi.",4
Menatap  puncak gunung merapi,"Merapi adalah gunung vulkano aktif dan telah beberapa kali erupsi. Erupsi beberapa tahun lalu telah menjatuhkan korban penduduk desa-desa di lereng merapi. Gunung merapi kalau lagi tidur sangat banyak didatangi wisatawan. Keindahan alam merapi sangat menarik untuk didatangi, namun saat sekaraang ini orang belum diizinkan ke puncak merapi..",4
Wisata alam yang luar biasa,"Berwisata ke gunung aktif ? ngeri ya? tidak justru disini anda akan disuguhkan panorama alam yang indah banget, selama jangan main saat erupsi hehehe,,, di lingkup merapi terdapat banyak penawaran2 paket wisata ke beberapa spot wisata yg ada disana, kita bisa memilih ikut paket tour atau jalan dengan kendaraan sendiri",5
"""Gunung Merapi.","Gunung merapi adalah gunung yang masih aktif di dunia, dengan ketinggian dri permukaan laut -+2950 mdpl. Gunung berapi ini memiliki banyak sejarah, salah satunya adalah hartaku. Hartaku adalah peninggalan dri erupsi gunung berapi pada tahun 2006 dan gunung merapi sekarang di jadikan tempat wisata. Untuk melakukan tour atau berwisata bisa menggunakan ""Lava Tour"" dmna nnti kalian akan di sajikan dengan ke indahan alam dan jaln menuju gunung merapi sangat extrem sehingga akan mengundang  adrenalin buat kalian semua, dsna juga kalian akan mengunjungi beberapa objek wisata seperti Bungker Kaliadem, Musem hartaku dll.klo main ke yogja jngan lupa untuk mengunjungi Gunung Merapi, semoga ulasan ini dapat bermanfaat buat pembaca. terima kasih",5
Lava Tour,"Gunung Merapi adalah termasuk Gunung yang paling aktif di dunia, dengan ketinggian dari permukaan laut -+ 2950 m dpl, setelah erupsi tahun 2010 Gunung Merapi dijadikan obyek wisata Lava Tour dengan menggunakan Kendaraan off road Jeep. Para pengemudi sudah terlatih & memiliki Surat Ijin Mengemudi Off Road yang dikeluarkan oleh IOF ( Indonesia Off Road Federation ), Sudah lebih 100 kali kami melakukan Lava Tour dengan Jeep di lokasi ini. Ada 2 program : Sunrise & Reguler, jika cuaca bagus akan akan bisa menikmati serta mengabadikan  pemandangan yang bagus, selamat mencoba & menikmati, salam",4
view indah,tur merapi merupakan tur yang asik karena banyak menawarkan panorama indah khas gunung vulkanik. viewnya indah apalagi saat awan pergi dan puncak gunung terlihat dengan jelas.,3
Cangkringan,"Wow, indahnya merapi saat pagi hari tapi siang dan sore hari. Detail lekuk lekuk tubuhnya, pasirnya, asapnya vegetasi dan sungainya.Wow cangkringan dengan wisata naik jib tuwa. Lalu masuk ke museum g merapi meletus",5
Barokah tour and travel Yogyakarta,"Yuk eksplore jogja bareng@rentalmobiljogja_barokah buat menemani perjalanan liburan kamu dan keluarga atau orang2 terdekat kamu, 💖💖Wisata Jogja pake supir 350k.Ready .. 🚘all new Avanza/Xenia🚘agya🚘Nissan match🚘APV🚘inovva🚘hiace🚘elf long/short🚘Alphard🚘Camry dllTersedia juga homestay 🏠 dengan  Harga ala backpacker dan pastinya tidak menguras kantong anda 💸💸 Mumpung lagi promo 😍😍 Rentalmobiljogja_barokah call/SMS:📲 +6282143991456 (call/SMS/wa)Insyaallah amanah dan barokah 😇#sopirjogja#sopirjogjakarta#sopiryogyakarta#sopirjogjamurah#supirjogja#supirjogjakarta#supiryogyakarta#supirjogjamurah#lfl#likeforlikes#wisatajogja#visityogyakarta#visitindonesia#kulinerjogja#rentalmobiljogjamurah#rentalmobiljogja#sewamobiljogja#sewamobiljogjamurah#rentalelfjogja#sewahiacejogja#eksplorjogja#jogjahits#malioboro#hoteljogja#hiace#sewakeretajogja#eksplorejogja#pesonajogja#berandajogja#jogjaku",5
tracking,mengunjungi merapi banyak hal yg dapat dilakukan contoh tracking sampai pasar bubrah. tracking dari jalur resmi yaitu selo. sebelum meletus 2014 lalu banyak jalur yang dapat dilalui menuju puncak. sekarang untuk sampai ke puncak sudah tidak diperbolehkan karena status merapi. disarankan hanya sampai pasar bubrah saja.tracking bisa dimulai basecamp selo jam 1.00 dini hari. kalo mau camping juga bisa berangkat lebih awal setelah isya. di pasar bubrah dapat melihat sunrise dan gunung merbabu di sebrangnya dan gunung2 yg lain dan pemandangan indah.,4
Bertualang dgn mobil jeep,"Di area merapi terdapat banyak tour lava dengan berbagai jenis mobil jeep dengan harga Rp. 400.000 per mobil dengan kapasitas 4 sd 5 orang.Anda di berikan air mineral dan disediakan helm serta masker muka.Sangat seru bertualang dengan jeep di jalanan bebatuan yg pastinya tidak mulus.Anda akan di bawa mengunjungi museum peninggalan barang barang yg terkenal lava panas merapi, bungker perlindungan yg penuh misteri dan area berfoto yg menakjubkan di dekat batu alien yg berbentuk seperti kepala manusia.",4
Meskipun berbahaya namun tetap mempesona,"Merapi view memang tak pernah ingkar janji, indah gagah menjulang tinggi, naik jeep atau motor trail lebih asyik disini. Jangan coba-coba maksa pake kendaraan bermotor yang ber ground clearance rendah, karena rute disini cukup xtreme. Tapi jangan khawatir banyak penyewaan jeep dan motor trail disini. Jangan sendiri pula, ga seru, ajak kolega pasangan atau sanak saudara anda, ",5
Kunjungan singkat,"Sengaja saya ngga pake jip lava tour, yaa namanya jg bagpackeran, kita kliling cukup pake motor sewaan aja biar lebih nyantei, kita ke bukit Klangon, yaitu desa wisata terdekat dari puncak Merapi, masuknya gratis (gatau emang belom ada org yg nagih tiket), soalnya pagi sekali sy nyampe sana maklum kepengen liat golden sunrise, sama puncak Merapi tanpa awan & kabut",5
Adrenalin booster,Ingin melihat bagaimana sisa erupsi merapi? Silahkan booking trip merapi tour... dengan 300 sp 500 rb rupiah dengan naik jeep anda akan melihat tempat2 terdampak letusan merapi... melewati jalan curam dan datar... melewati sungai berbatu2... dengan pemandangan bentang alam yg indah dan udara yg segar. Pilih waktu pagi2 sebelum sunrise atau sore mendekati sunset... jgn lupa bawa topi dan minuman.,5
seru,cocok untuk yang suka adrenalin . kita bisa menyewa mobil jeep untuk lava tour . selain itu saat cuaca cerah kita bisa menikamati pemandangan kokohnya merapi . udara adem tapi segar membuat kita bisa lupa kepenatan kita sejenak,4
wisata gunung naik jeep yang mengasyikan,"wisata gunung naik jeep yang mengasyikan, 1 jeep isi 4 penumpang dewasa, digunscang-guncang karena jalanan gunung yang naik turun . pengalaman yang seru untuk dicoba. jangan lupa pakai topi dan masker karena untuk wisata yang dilakukan siang hari akan panas dan berdebu.",4
Wisata alam,"Tempat yang sangat bagus .Instagramable dan wajib dateng,Suasananya sejuk bgt, pokoknya wajib dtg kalau ke jogja, di jamin gak bakal nyesel 👍",5
"...berdiri diatas awan, serasa di kahyangan...",pendakian merapi lewat jalur selo. sesampai di pasar bubrah istirahat sebentar. sesudah itu jalur ekstrim menanti. tapi sepadan dengan pemandangan waktu pagi ketika sunrise. beihhhhh.....serasa di tumpukan awan putih.kita menjadi kecil dihadapan Sang Khalik....,4
Sangat mengesan kn sekali,Saya sangat gembira berada di sini sangat undah sekali... Saya sangat cinta berada d sini.. Memandangan nya sangat saya suka,5
Indahnya sang gundukan di Ujung Jogja,"Indahnya gunung ini ketika terlihat di pagi hari, dimana wujud darinya sangat jelas dan mempesona. Sehingga membuat mulut tidak habis bergetar memuji nama-Nya.",4
Lava tour offroad,"Keindahan gunung merapi dan sejarah peristiwa meletus gunung merapi di abadikan, kita dapat melihat dengan menggunakan jeep. Sekarang gunung merapi menjadi tempat wisata yang menakjubkan dengan dibantu oleh jeep untuk memudahkan wisatawan melihat dan mengamati keindahannya..",5
Gersang,"Ikut tur merapi dengan Jeep terbuka. Panaaass sekali. Kalau dipikir, kita tour diatas lahan yang sebelumnya merupakan pemukiman warga, sekarang daerah seluas itu tertutup rata oleh pasir.. :( . Pulang dari sini rambutnya jadi gimbal.. :D , karena udara dan pasirnya mungkin. tapi worth  untuk kesini, sambil mendoakan supaya tidak lagi terjadi musibah seperti letusan merapi tersebut. ",4
Merapi tak pernah ingkar janji,"Pendakian gunung merapi merupakan hal yang luar biasa, kala itu naik dan turun melalui jalur New selo. Tracking dari awal ditandai dengan jalur cor Beton hingga tanah dan batuan berpasir. Kami naik sekitar jam 22 dan sampai di camp area pasar bubrah jam 04 pagi, lalu pasang tenda dan menikmati cerah nya view gunung merbabu di depannya dan juga sekitar pasar bubrah hingga view puncak merapi. Cuaca sedang cerah walaupun angin di pasar bubrah sangat kencang namun tidak menghentikan langkah kami untuk Explore dan menikmati gunung merapi. ",5
Keindahan gunung api paling aktif di Indonesia,"Saya sudah dua kali mengunjungi wisata lava tour gunung merapi ini dan keindahan alam dari gunung merapi seakan tidak ada habisnya..Untuk operator jeep saya menggunakan Grinata Adventure, karena mereka selalu mengutamakan keselamatan dan memiliki staf yg sangat baik, ramah dan membantu dalam hal poto-poto",5
Gunung selalu menjadi tempat yang cocok untuk memanjakan mata,"Semua terlihat menawan dari atas gunung, suhu yang sejuk, pepohonan dimana-mana, akses yang mudah dicapai dari kota",5
awesome trip,my life my adventure...sebutan ini cocok dgn perjalanan kami mengitari gunung merapi dgn mengendarai zeep.kami mengunjungi desa yg terbenam akibat letusan gunung merapi.tak ada lg terlihat rmh penduduk smua rata dgn tanah.rmh yg tersisa hanya bbrp saja dan dijadikan museum dimana kita bisa melihat smua brg brg didlm rmh itu hangus akibat lahar gunung merapisetelah mengunjungj desa tersebut kami lalu mengitari sungai di kaki gunung dgn zeep yg berkecepatan tinggi.byurrr....byurrr sekujur tubuh kami basah krn cipratan air yg sangat tinggi.tetapi ank ank sangat enjoy skali dgn kegiatan ini...kenangan yg tak terlupakan..,5
1 hari sebelum erupsi,"Kami mengunjungi gunung merapi sehari sebelum erupsi tanggal 11 mei 2018. Gunung terlihat baik- baik- saja. Udara sejuk di sekitar bunker kaliadem. Gunung tertutup kabut hari itu. Disarankan memakai sepatu yang nyaman, Karena jalanan berbatu & tidak rata. Disarankan memakai topi jika ke merapi saat musim panas, Karena matahari sangat menyengat sepanjang perjalanan.",5
Never Ending,"bagaimanapun keadaan merapi diberitakan, tak pernah sekalipun kehilangan minat untuk datang kesana. Banyak wisata disekitarnya yang wajib juga dikunjungi",5
catch the sunrise,"sejak peristiwa meletusnya si gunung merapi ini, ada banyak paket wisata dengan Jeep yang ditawarkan. anda akan dijemput sekitar pukul 4 pagi, dan menunggu sampai sunrise.",4
The Magnificent Volcano,"Tiba di basecamp merapi sekitar jam 4, saya dan 2 orang teman langsung bergegas naik gunung yg indah ini. bermalam di pos 2, dan paginya lanjut trekking untuk summit ke pasar bubrah. Pasar bubrah adalah kawasan batas aman pendakian, diusahakan utk mematuhi peraturan pendakian agar tidak terjadi hal2 yg tidak diinginkan dan jangan lupa bawa sampah kembali pulang. keep the environment clean...",5
Pemandangan yang cantik dan sangat sejuk,"Liburan cantik dan irit cuma bayar parkir aja, nah kalo mau kesini mending jam 8-10 pagi supaya kabut udah turun atau sekalian subuh untuk liat sunrise.fasilitas umum seperti toilet atau parkir sangat memadai dan kalo yang bawa mobil hati2 karena jalanannya lumayan sempit dan berkelok",5
Datang ke merapi pas ada erupsi freatik,"Gunung berapi aktif ini sangat indah, sayang pas saya datang sedang ada erupsi freatik, ada hujan abu.. ",5
Erupsi,"Datang di waktu yg kurang tepat,,krn pas mau ke jogja,,gn.merapi abis erupsi,,alhasil kita dapat hujan abu vulkanik ajaaa,,gagal ke merapinya,,krn siruasinya masi kurang aman",4
Lava Tour Splash,"Excitement naik jeep lihat spot-spot merapi dari bunker, rumah mbah marijan, batu alien, sungai kuning, dll",5
Gunung merapi,"Kalau ke yogya, pasti anda akan melihat landscapr gunung merapi yang indah terutama saat matahari terbit. Gunung ini masih tercatat sebagai gunung volkano yang aktif",5
advanture,Berpetualang tour ke merapi sungguh heboh dan fun... keindahan alam yang luar biasa. Mesti dijaga kelestariannya agar tetap natural,5
Great,"Keren lah pemandangannya, liburan ke jogja gak lengkap kalau belum sempat datang ke gunung merapi yang legend ini.",5
Merapi lava tour,"Liburan ke yogyakarta tidak lengkapnya rasanya tanpa ke merapi.kami memilih ke merapi dengan mengikuti merapi lava tour dengan menggunakan jeep.  Sungguh pengalaman yang sangat seru dan menegangkan mana pada hari itu lagi hujan.  Kita mengelilingi museum merapi,  rumah mbah marijan,  bunker dan terakhir offroad di sungai.  Offroad di sungai sangat seru dan menyenangkan anak anak saya sampai sampai kami minta diputar beberapa x lagi. Benar benar liburan Keluarga yang seru dan unik dengan menggunakan merapi lava tour. ",5
Gunung banyak Pasir,"Saat melihat pemandangan dan suasana Gunung Merapi yang indah dan sejuk, sarannya pakai sepatu olahraga dan bawa minum botol air putih.",5
Magnificent,"Kesini dengan lava tour merapi, naik jeep menyusuri museum saat meletus merapi, bunker, dan spot-spot lainnya. Banyak spot yang sangat bagus dan instagramable of course, belum lagi suasana yang indah dan sejuk. Di museum kita bisa banyak belajar tentang ""damage"" yang terjadi pada barang-barang yang di lalui lahar panas.. Menyeramkan",4
pendakian gunung merapi,"gunung merapi masih seperti dulu, masih gagah, hanya saja klo ingin mendaki merapi yang harus di persiapkan adalah air di karenakan tidak ada mata air disini, pemandangan nya juga oke ga kalah dari merbabu",5
Kokoh,Saya melihat meraoi dari tempat petilasannya mbah marijan sang juru kunci yang tersohor dulu itu. Dari sini merapi terlihat sangat jelas. Saya menyarankan agar anda kesini pada pagi hari sekitar jam 7-8 agar merapi terlihat jelas tidak tertutup kabut. Kokohnya merpai bisa terlihat jelas asalkan waktu dan cuacanya pas. Namun sayang sekali merapi jika di foto tidak terlalu detail..,5
