"","judul","rating","review"
"16","Terimakasih Maha Pencipta Alam",5,"bagi kamu yang mau melihat gunung merapi keindahannya bisa kamu lihat setelah waktu sunrise antara pukul  pagi hingga  pagi namun juga melihat cuaca biasanya setelah jam  merapi akan tertutup kabut yang lumayan tebal"
"17","Adventure Trip",3,"menjelajah merapi dari kaliadem dan mengexplore bunker perlindungan dari awan panas yang terdapat disana"
"18","Suka naik gunung? Coba Tektok di merapi",4,"naik merapi bisa dilakukan dalam sekali jalan salah satu jalur pendakian di  new selo menawarkan jalur pendakian yang lebih landai sehingga biasa dilakukan tektok atau sekali jalan dari basecamp barameru kita bisa berangkat pukul  dinihari untuk bisa menikmati sunrise di puncak merapi  sekitar pukul  pagi sudah bisa kembali turun"
"19","Ikon kota yogya",4,"ini merupakan gunung terkenal di daerah yogyakarta dan sepertinya masih aktif view disekitarnya juga bagus semburan liar dari larva yang pernah terjadi ternyata menjadi berkah dengan kemasan wisata larva tour wisata ini menggunakan jrep touring dengan menyusuri area semburan larva yang pernah terjadi ini menjadi pengalaman wisata yang menyenangkan buat saya"
"20","Kunjungan kedua",5,"ini kunjungan kedua sy soalnya yg pertama  awal november  puncak merapi tertutup awan skr pertengahan april  puncak merapi jelas terlihat walaupun kedatanganku disambut awan yg kluar dr kawah tp ga berlangsung lama view tetep dr bukit klangon tetep gratis minusnya bambu gardu pandang udh ga layak injak"
"21","Wisata Gunung Merapi",5,"gunung teraktif di dunia sangat indah bagus untuk dikunjungi pada saat tertentu akan ditutup bagi wisatawan"
"22","Tempat menarik untuk dikunjungi",5,"gunung merapi aralah salah satu tempat menarik yang patut dikunjungi saat itu saya menggunakan jeep atau lavatour merapi banyak destinasi wisata disana mulai dari sejarah gunung merapi barang barang sisa letusan gunung dan ada banker tempat dimana jika masyarakat melindungi diri saat merapi meletus jadi ini adalah tempat wisata yang cocok untuk kita mengenal sejarah sehingga dapat liburan sambil belajar sejarah dan berfotofoto harus datang kesini yaa dijamin ini sangar asik"
"23","Berwisata ke Gunung Merapi Yogyakarta",4,"disini kita dapat melihat napak tilas sejarah dari letusan gunung merapi serta melihat peninggalan harta benda dari masyarakat yang terkena dampak erupsi gunung merapi sangat mendidik bagi wisatawan yang berkunjung ke tempat ini dan cukup bersahabat tour guidepemandu wisata dalam memandu para pengunjung ada juga tempat yang bisa dikunjungi seperti bungker kali adem dan museum sisa hartaku"
"24","Liburan Keluarga",4,"tersedia paket lava tour di merapi harga mulai dari idr k kamu bisa menyewa jeep untuk menelusuri wisata merapi seperti di bunker kali adem museum sisa hartaku dan lainnya untuk transport ke merapi jika kamu tak membawa kendaraan pribadi kamu bisa menghubungi saya atau search di google avilo transport"
"25","Tips Wisata Merapi",4,"ini adalah pilihan wisata yang menarik jika memutuskan untuk touring dengan jeep siapkan masker jika musim kemarau dan siapkan baju ganti jika hujan baju ganti tetap diperlukan jika mengambil long trek yang akan dibawa melewati genangan airselamat menikmati keindahan merapi dan keseruan jelajah dengan jeep"
"26","Merapi Istimewa",5,"merapi sedang sensitif indah dipandang dari jauh bahaya saat berdekatan 💡 keep on safety guys god bless merapi"
"27","Bermain",5,"gunungnya bagus waktu pagi hari kita bisa menyewa jeep dam ikut tripnya banyak sekali tempat wisata yang ada"
"28","WISATA GUNUNG MERAPI YG ASYIK",5,"gak lengkap kalau kejogja tidak berkunjung ke gunung merapi tempatnya adem kami mengunjungi bungker merapi dan npak tilas rumah almmbh marijan ada beberapa post untuk membayar biaya masuk"
"29","The mountain keeps a million memories and history",5,"masa dtg ke sni akan ada  point kalau xsilap stiap point yg kita akan sggah memberikan permandangan dan cerita yg berbeza kita jga blh tahu tntang sejarah di sana trdapat byk korban nyawa mahupun harta benda apa yg plg mnyedihkan bila nmpak sendiri secara langsung gmbar dan brg yg musnah dtg lah kesini kalau dah smpai jogja pasti seronok naik jeep tau abg driver  tour and guide pun best sporting tlg mbikkan gambar lagi masa saya ngan kawan dtg sni mas parjo yg guide kitaorang sgt baik peramah dan sporting terima kasih teamenjoyyourholiday sbb sntiasa mmberikan yg terbaik utk kami the best tour and guide ever"
"30","Napak Tilas Sejarah",5,"ke jogja tidak lengkap bila belum kesini karena bisa menapak tilas sejarah tentang meletusnya gunung merapai dan mengenal sosok mbah marijan bila beruntung dapat bertemu dengan istri dari mbah marijan"
"31","Perjalan seru",5,"merapi wajib dikunjungi karena disamping mengenang kilas balik peristiwa merapi juga ada wahana baru yaitu merapi park cocok utk yg membawa anak kecil seperti kamikebetulan kami menggunakan jasa lava tour merapi perjalan kami semakin seru mengunakan jeep yg sopirnya sangat ramah dalam memandu kami dan menjelaskan dgn detail satu persatu tempat yg kami kunjungi oh ya sopirnya juga merangkap sebagai fotografer serta pengarah gaya juga lohtrimakasih lava tour mantap dlm pelayanan"
"32","Merapi Lava Tour",5,"bagi anda yang menyukai adventure anda bisa mencoba merapi lava tour ada beberapa durasi waktu yang ditawarkan kemarin kami mengambil paket medium  rp  jeep yg bisa muat sekitar  orang   meliputi daerah bunker batu alien museum merapi dan sungai perjalanan dengan medan yang menantang sambil disuguhkan pemandangan yang indah di museum merapi kita bs melihat rumah serta perabotan juga kendaraan dan tulang hewan yang terkena erupsi merapiterdapat pula kios yang menjual souvenir dan kedai makan"
"33","Wisata alam yang menakjubkan",5,"lava tour yang seru melintasi tempat terdampak letusan merapi beberapa waktu lalu banyak kisah pilu bisa kita dapatkan dari driver yang mengantarkan kita ke tempat yang pernah dilanda bencana letusan merapi dengan mengendarai jeep hardtop menjadikan pengalaman ini menjadi semakin seru sayang sunrise tidak nampak karena cuaca mendung kalo mau kesini sebaiknya setelah subuh atau sekitar jam setengan enam supaya bisa merasakab sejuknya daerah sekitar"
"34","Lautan awannya keren",4,"ini merupakan gunung di jawa tengah yang pertama kali didaki treknya bisa untuk pemula dihimbau agar mendaki hanya sampai pasar bubrah tidak untuk sampai ke puncak walaupun kenyataannya banyak juga yang mendaki sampai puncak"
"35","Jeep Gunung Merapi",5,"bulan juli lalu mencoba untuk ke merapi dgn menyewa jeep cukup banyak dapat ditemui penyewaan jeep perjalanan berbatu dan berdebu tapi memang sangat indah anak balita saya sangat menikmati perjalanan kami"
"36","Gunung Merapi",5,"ini merupakan pertama kali pengalaman melihat laluan larva gunung berapi dan melihat bahan dan kesan tinggalan akibat dari letusan tersebut mengikut apa yang diceritakan penduduk di kampung tersebut telah diarahkan untuk berpindah namun ada yang engkar kerana biasanya letusan larva tidak lebih dari kmnamun yang terjadi pada tahun  lebih dari kmmaka penduduk kampung tersebut tidka sempat menyelamatkan diri"
"37","Bukit klangon merapi",3,"jalan menuju ke lokasi rusak parah sehingga pengunjung diharapkan hati hati bila kesana disarankan untuk menggunakan kendaraan offroad bisa sewa waspadai juga pungli pungli jika ingin ke object wisata seperti lava tour kaliadem makam mbah marijan"
"38","The most famous Mountain",5,"gunung merapi paling yang terkenal di yogyakarta ini merupakan gunung yang masih berapi aktif  untuk mendaki di gunung ini diperlukan pengetahuan status yang benarbenar harus diperhatikan"
"39","Wisata merapi vulcano",4,"kegiatan workshop yang diiringi dengan agenda jalan jalan membuat kami merasa senang apalagi suguhan cantiknya merapi yang mengagumkan"
"40","beautiful mountain..",4,"bersama keluarga menikmati indahnya gunung merapi dan sisa letusan lebih seru jika kita naik mobil jeep lavatour melihat merapi dari dekat ke museum merapi banker dan sungai yang airnya jernih sekali pengalaman yang mengesankan berlibur lavatour merapi"
"41","Menatap  puncak gunung merapi",4,"merapi adalah gunung vulkano aktif dan telah beberapa kali erupsi erupsi beberapa tahun lalu telah menjatuhkan korban penduduk desadesa di lereng merapi gunung merapi kalau lagi tidur sangat banyak didatangi wisatawan keindahan alam merapi sangat menarik untuk didatangi namun saat sekaraang ini orang belum diizinkan ke puncak merapi"
"42","Wisata alam yang luar biasa",5,"berwisata ke gunung aktif  ngeri ya tidak justru disini anda akan disuguhkan panorama alam yang indah banget selama jangan main saat erupsi hehehe di lingkup merapi terdapat banyak penawaran paket wisata ke beberapa spot wisata yg ada disana kita bisa memilih ikut paket tour atau jalan dengan kendaraan sendiri"
"43","""Gunung Merapi.",5,"gunung merapi adalah gunung yang masih aktif di dunia dengan ketinggian dri permukaan laut  mdpl gunung berapi ini memiliki banyak sejarah salah satunya adalah hartaku hartaku adalah peninggalan dri erupsi gunung berapi pada tahun  dan gunung merapi sekarang di jadikan tempat wisata untuk melakukan tour atau berwisata bisa menggunakan lava tour dmna nnti kalian akan di sajikan dengan ke indahan alam dan jaln menuju gunung merapi sangat extrem sehingga akan mengundang  adrenalin buat kalian semua dsna juga kalian akan mengunjungi beberapa objek wisata seperti bungker kaliadem musem hartaku dllklo main ke yogja jngan lupa untuk mengunjungi gunung merapi semoga ulasan ini dapat bermanfaat buat pembaca terima kasih"
"44","Lava Tour",4,"gunung merapi adalah termasuk gunung yang paling aktif di dunia dengan ketinggian dari permukaan laut   m dpl setelah erupsi tahun  gunung merapi dijadikan obyek wisata lava tour dengan menggunakan kendaraan off road jeep para pengemudi sudah terlatih  memiliki surat ijin mengemudi off road yang dikeluarkan oleh iof  indonesia off road federation  sudah lebih  kali kami melakukan lava tour dengan jeep di lokasi ini ada  program  sunrise  reguler jika cuaca bagus akan akan bisa menikmati serta mengabadikan  pemandangan yang bagus selamat mencoba  menikmati salam"
"45","view indah",3,"tur merapi merupakan tur yang asik karena banyak menawarkan panorama indah khas gunung vulkanik viewnya indah apalagi saat awan pergi dan puncak gunung terlihat dengan jelas"
"46","Cangkringan",5,"wow indahnya merapi saat pagi hari tapi siang dan sore hari detail lekuk lekuk tubuhnya pasirnya asapnya vegetasi dan sungainyawow cangkringan dengan wisata naik jib tuwa lalu masuk ke museum g merapi meletus"
"47","Barokah tour and travel Yogyakarta",5,"yuk eksplore jogja barengrentalmobiljogjabarokah buat menemani perjalanan liburan kamu dan keluarga atau orang terdekat kamu 🛠🛠wisata jogja pake supir kready  🛠all new avanzaxenia🛠agya🛠nissan match🛠apv🛠inovva🛠hiace🛠elf longshort🛠alphard🛠camry dlltersedia juga homestay 🋠 dengan  harga ala backpacker dan pastinya tidak menguras kantong anda 🛠🛠 mumpung lagi promo 🛠🛠 rentalmobiljogjabarokah callsms🛠  callsmswainsyaallah amanah dan barokah 🛠sopirjogjasopirjogjakartasopiryogyakartasopirjogjamurahsupirjogjasupirjogjakartasupiryogyakartasupirjogjamurahlfllikeforlikeswisatajogjavisityogyakartavisitindonesiakulinerjogjarentalmobiljogjamurahrentalmobiljogjasewamobiljogjasewamobiljogjamurahrentalelfjogjasewahiacejogjaeksplorjogjajogjahitsmalioborohoteljogjahiacesewakeretajogjaeksplorejogjapesonajogjaberandajogjajogjaku"
"48","tracking",4,"mengunjungi merapi banyak hal yg dapat dilakukan contoh tracking sampai pasar bubrah tracking dari jalur resmi yaitu selo sebelum meletus  lalu banyak jalur yang dapat dilalui menuju puncak sekarang untuk sampai ke puncak sudah tidak diperbolehkan karena status merapi disarankan hanya sampai pasar bubrah sajatracking bisa dimulai basecamp selo jam  dini hari kalo mau camping juga bisa berangkat lebih awal setelah isya di pasar bubrah dapat melihat sunrise dan gunung merbabu di sebrangnya dan gunung yg lain dan pemandangan indah"
"49","Bertualang dgn mobil jeep",4,"di area merapi terdapat banyak tour lava dengan berbagai jenis mobil jeep dengan harga rp  per mobil dengan kapasitas  sd  oranganda di berikan air mineral dan disediakan helm serta masker mukasangat seru bertualang dengan jeep di jalanan bebatuan yg pastinya tidak mulusanda akan di bawa mengunjungi museum peninggalan barang barang yg terkenal lava panas merapi bungker perlindungan yg penuh misteri dan area berfoto yg menakjubkan di dekat batu alien yg berbentuk seperti kepala manusia"
"50","Meskipun berbahaya namun tetap mempesona",5,"merapi view memang tak pernah ingkar janji indah gagah menjulang tinggi naik jeep atau motor trail lebih asyik disini jangan cobacoba maksa pake kendaraan bermotor yang ber ground clearance rendah karena rute disini cukup xtreme tapi jangan khawatir banyak penyewaan jeep dan motor trail disini jangan sendiri pula ga seru ajak kolega pasangan atau sanak saudara anda"
"51","Kunjungan singkat",5,"sengaja saya ngga pake jip lava tour yaa namanya jg bagpackeran kita kliling cukup pake motor sewaan aja biar lebih nyantei kita ke bukit klangon yaitu desa wisata terdekat dari puncak merapi masuknya gratis gatau emang belom ada org yg nagih tiket soalnya pagi sekali sy nyampe sana maklum kepengen liat golden sunrise sama puncak merapi tanpa awan  kabut"
"52","Adrenalin booster",5,"ingin melihat bagaimana sisa erupsi merapi silahkan booking trip merapi tour dengan  sp  rb rupiah dengan naik jeep anda akan melihat tempat terdampak letusan merapi melewati jalan curam dan datar melewati sungai berbatu dengan pemandangan bentang alam yg indah dan udara yg segar pilih waktu pagi sebelum sunrise atau sore mendekati sunset jgn lupa bawa topi dan minuman"
"53","seru",4,"cocok untuk yang suka adrenalin  kita bisa menyewa mobil jeep untuk lava tour  selain itu saat cuaca cerah kita bisa menikamati pemandangan kokohnya merapi  udara adem tapi segar membuat kita bisa lupa kepenatan kita sejenak"
"54","wisata gunung naik jeep yang mengasyikan",4,"wisata gunung naik jeep yang mengasyikan  jeep isi  penumpang dewasa digunscangguncang karena jalanan gunung yang naik turun  pengalaman yang seru untuk dicoba jangan lupa pakai topi dan masker karena untuk wisata yang dilakukan siang hari akan panas dan berdebu"
"55","Wisata alam",5,"tempat yang sangat bagus instagramable dan wajib datengsuasananya sejuk bgt pokoknya wajib dtg kalau ke jogja di jamin gak bakal nyesel 🝰"
"56","...berdiri diatas awan, serasa di kahyangan...",4,"pendakian merapi lewat jalur selo sesampai di pasar bubrah istirahat sebentar sesudah itu jalur ekstrim menanti tapi sepadan dengan pemandangan waktu pagi ketika sunrise beihhhhhserasa di tumpukan awan putihkita menjadi kecil dihadapan sang khalik"
"57","Sangat mengesan kn sekali",5,"saya sangat gembira berada di sini sangat undah sekali saya sangat cinta berada d sini memandangan nya sangat saya suka"
"58","Indahnya sang gundukan di Ujung Jogja",4,"indahnya gunung ini ketika terlihat di pagi hari dimana wujud darinya sangat jelas dan mempesona sehingga membuat mulut tidak habis bergetar memuji namanya"
"59","Lava tour offroad",5,"keindahan gunung merapi dan sejarah peristiwa meletus gunung merapi di abadikan kita dapat melihat dengan menggunakan jeep sekarang gunung merapi menjadi tempat wisata yang menakjubkan dengan dibantu oleh jeep untuk memudahkan wisatawan melihat dan mengamati keindahannya"
"60","Gersang",4,"ikut tur merapi dengan jeep terbuka panaaass sekali kalau dipikir kita tour diatas lahan yang sebelumnya merupakan pemukiman warga sekarang daerah seluas itu tertutup rata oleh pasir   pulang dari sini rambutnya jadi gimbal d  karena udara dan pasirnya mungkin tapi worth  untuk kesini sambil mendoakan supaya tidak lagi terjadi musibah seperti letusan merapi tersebut"
"61","Merapi tak pernah ingkar janji",5,"pendakian gunung merapi merupakan hal yang luar biasa kala itu naik dan turun melalui jalur new selo tracking dari awal ditandai dengan jalur cor beton hingga tanah dan batuan berpasir kami naik sekitar jam  dan sampai di camp area pasar bubrah jam  pagi lalu pasang tenda dan menikmati cerah nya view gunung merbabu di depannya dan juga sekitar pasar bubrah hingga view puncak merapi cuaca sedang cerah walaupun angin di pasar bubrah sangat kencang namun tidak menghentikan langkah kami untuk explore dan menikmati gunung merapi"
"62","Keindahan gunung api paling aktif di Indonesia",5,"saya sudah dua kali mengunjungi wisata lava tour gunung merapi ini dan keindahan alam dari gunung merapi seakan tidak ada habisnyauntuk operator jeep saya menggunakan grinata adventure karena mereka selalu mengutamakan keselamatan dan memiliki staf yg sangat baik ramah dan membantu dalam hal potopoto"
"63","Gunung selalu menjadi tempat yang cocok untuk memanjakan mata",5,"semua terlihat menawan dari atas gunung suhu yang sejuk pepohonan dimanamana akses yang mudah dicapai dari kota"
"64","awesome trip",5,"my life my adventuresebutan ini cocok dgn perjalanan kami mengitari gunung merapi dgn mengendarai zeepkami mengunjungi desa yg terbenam akibat letusan gunung merapitak ada lg terlihat rmh penduduk smua rata dgn tanahrmh yg tersisa hanya bbrp saja dan dijadikan museum dimana kita bisa melihat smua brg brg didlm rmh itu hangus akibat lahar gunung merapisetelah mengunjungj desa tersebut kami lalu mengitari sungai di kaki gunung dgn zeep yg berkecepatan tinggibyurrrbyurrr sekujur tubuh kami basah krn cipratan air yg sangat tinggitetapi ank ank sangat enjoy skali dgn kegiatan inikenangan yg tak terlupakan"
"65","1 hari sebelum erupsi",5,"kami mengunjungi gunung merapi sehari sebelum erupsi tanggal  mei  gunung terlihat baik baik saja udara sejuk di sekitar bunker kaliadem gunung tertutup kabut hari itu disarankan memakai sepatu yang nyaman karena jalanan berbatu  tidak rata disarankan memakai topi jika ke merapi saat musim panas karena matahari sangat menyengat sepanjang perjalanan"
"66","Never Ending",5,"bagaimanapun keadaan merapi diberitakan tak pernah sekalipun kehilangan minat untuk datang kesana banyak wisata disekitarnya yang wajib juga dikunjungi"
"67","catch the sunrise",4,"sejak peristiwa meletusnya si gunung merapi ini ada banyak paket wisata dengan jeep yang ditawarkan anda akan dijemput sekitar pukul  pagi dan menunggu sampai sunrise"
"68","The Magnificent Volcano",5,"tiba di basecamp merapi sekitar jam  saya dan  orang teman langsung bergegas naik gunung yg indah ini bermalam di pos  dan paginya lanjut trekking untuk summit ke pasar bubrah pasar bubrah adalah kawasan batas aman pendakian diusahakan utk mematuhi peraturan pendakian agar tidak terjadi hal yg tidak diinginkan dan jangan lupa bawa sampah kembali pulang keep the environment clean"
"69","Pemandangan yang cantik dan sangat sejuk",5,"liburan cantik dan irit cuma bayar parkir aja nah kalo mau kesini mending jam  pagi supaya kabut udah turun atau sekalian subuh untuk liat sunrisefasilitas umum seperti toilet atau parkir sangat memadai dan kalo yang bawa mobil hati karena jalanannya lumayan sempit dan berkelok"
"70","Datang ke merapi pas ada erupsi freatik",5,"gunung berapi aktif ini sangat indah sayang pas saya datang sedang ada erupsi freatik ada hujan abu"
"71","Erupsi",4,"datang di waktu yg kurang tepatkrn pas mau ke jogjagnmerapi abis erupsialhasil kita dapat hujan abu vulkanik ajaaagagal ke merapinyakrn siruasinya masi kurang aman"
"72","Lava Tour Splash",5,"excitement naik jeep lihat spotspot merapi dari bunker rumah mbah marijan batu alien sungai kuning dll"
"73","Gunung merapi",5,"kalau ke yogya pasti anda akan melihat landscapr gunung merapi yang indah terutama saat matahari terbit gunung ini masih tercatat sebagai gunung volkano yang aktif"
"74","advanture",5,"berpetualang tour ke merapi sungguh heboh dan fun keindahan alam yang luar biasa mesti dijaga kelestariannya agar tetap natural"
"75","Great",5,"keren lah pemandangannya liburan ke jogja gak lengkap kalau belum sempat datang ke gunung merapi yang legend ini"
"76","Merapi lava tour",5,"liburan ke yogyakarta tidak lengkapnya rasanya tanpa ke merapikami memilih ke merapi dengan mengikuti merapi lava tour dengan menggunakan jeep  sungguh pengalaman yang sangat seru dan menegangkan mana pada hari itu lagi hujan  kita mengelilingi museum merapi  rumah mbah marijan  bunker dan terakhir offroad di sungai  offroad di sungai sangat seru dan menyenangkan anak anak saya sampai sampai kami minta diputar beberapa x lagi benar benar liburan keluarga yang seru dan unik dengan menggunakan merapi lava tour"
"77","Gunung banyak Pasir",5,"saat melihat pemandangan dan suasana gunung merapi yang indah dan sejuk sarannya pakai sepatu olahraga dan bawa minum botol air putih"
"78","Magnificent",4,"kesini dengan lava tour merapi naik jeep menyusuri museum saat meletus merapi bunker dan spotspot lainnya banyak spot yang sangat bagus dan instagramable of course belum lagi suasana yang indah dan sejuk di museum kita bisa banyak belajar tentang damage yang terjadi pada barangbarang yang di lalui lahar panas menyeramkan"
"79","pendakian gunung merapi",5,"gunung merapi masih seperti dulu masih gagah hanya saja klo ingin mendaki merapi yang harus di persiapkan adalah air di karenakan tidak ada mata air disini pemandangan nya juga oke ga kalah dari merbabu"
"80","Kokoh",5,"saya melihat meraoi dari tempat petilasannya mbah marijan sang juru kunci yang tersohor dulu itu dari sini merapi terlihat sangat jelas saya menyarankan agar anda kesini pada pagi hari sekitar jam  agar merapi terlihat jelas tidak tertutup kabut kokohnya merpai bisa terlihat jelas asalkan waktu dan cuacanya pas namun sayang sekali merapi jika di foto tidak terlalu detail"
"81","Lava Tour",5,"tour off road seputaran lokasi bencana letusan merapiterdapat beberapa titik yg cukup menarik bunker kaliadem   menunjukan dedikasi dan pengorbanan    para relawan sar museum   menceritakan kondisi saat kejadiandan beberapa obyek  spot yg bagus utk berfotoini akan mengingatkan betapa kecilnya manusia dibandingkan kekuatan alam"
"82","wisata seru untuk keluarga",4,"pertama kali mengunjungi obyek wisata merapi hanya sampai di tempat parker jeep gak berani untuk ikut ke atas kedua kalinya ke sana bersama suami dan keluarganya tetangga saya jadi penasaran dan ikut naik jeep sampai ke atas ternyata banyak yang bias dilihat dari sisa kejadian meletusnya gunung merapi kita bias mengambil banyak pelajaran dari sana"
"83","Gunung yang Super WOW",5,"saya mendaki gunung yang super wow ini disaat musim pancaroba yang tidak bisa ditebak kapan panas dan hujannya sepanjang trek pendakian pemandangan indah terhampar didepan mata dikarenakan gunung ini tidak memiliki sumber mata air maka persiapkan air yang lebih trek sampai ke pasar bubrah atau titik terakhir di gunung ini bisa memakan waktu  jam berjalan santai perlu ekstra hati hati dikarenakan trek ini memiliki jalur dengan kanan kiri jurang dan tanah yang licin puncak sangat melelahkan karena jalur pasir yang lumayan menghisap tapi semua kelelahan sangat terbayar bila sampai dipuncak sooo selamat mencoba"
"84","Tempat wajib!",4,"dari dulu selalu kesini setiap kali pulang ke jogja karna pemandangan dan hawanya yang sejuk serta lumayan terjangkau dalam segi harga bisa mengajak keponakan untuk main dan melihat monyet"
